#RESOURCE=yCat_35860049
#Name: J/A+A/586/A49
#Title: r- and s- process elements in Milky Way disk (Battistini+, 2016)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_586_A49_abundances:
#Name: J/A+A/586/A49/abundances
#Title: Stellar parameters, abundances (table4), and single line abundances (table3)
#---Details of Columns:
#    Teff (K)       (I4)    Effective temperature [ucd=phys.temperature.effective]
#    [Fe/H] ([Sun]) (F5.2)  Abundance ratio Fe/H normalised to Sun [ucd=phys.abund]
#    [Eu/H] ([Sun]) (F5.2)  ? Abundance ratio Eu/H normalised to Sun [ucd=phys.abund]
#---- ----- -----
#     [Fe/  [Eu/ 
#Teff H] ([ H] ([
#(K)  Sun]) Sun])
#---- ----- -----
5856 -0.59 -0.22
5607  0.18  0.11
5655  0.12  0.06
5716  0.03 -0.01
5522 -0.64 -0.32
5705 -0.54 -0.30
5473 -0.47  0 
5089 -0.30 -0.27
5990  0.34  0.46
6024 -0.01  0
5982  0.19  0.13
5248 -0.18  0
5211 -0.60  0
6396 -0.55 -0.19
4991 -0.41  0
5743 -0.15  0.01
5825 -0.10  0
6198 -0.38 -0.12
5963 -0.24 -0.12
5643 -0.29 -0.04
5335 -0.59 -0.05
5600  0.16  0.08
5563 -0.26 -0.09
5638 -0.32 -0.06
6078 -0.35 -0.16
6225 -0.06  0.04
6046  0.12  0.09
5994 -0.29 -0.24
5768 -0.62 0
5720  0.00  0.01
5686 -0.11 -0.03
4971 -0.46 0
5792  0.04  0.13
5292 -0.08  0.11
5026 -0.11 0
5451 -0.44 -0.13
5841  0.22  0.20
5036 -0.10 0
5005 -0.50 -0.28
5691  0.35 0
5284  0.02 0
5217 -2.05 0
6038  0.28 0
5648 -0.62 -0.30
5918  0.20  0.12
5712  0.04  0.09
5931 -2.62 0
5526 -0.61 -0.14
5920  0.00  0.04
5749 -0.23 -0.08
6420 -0.30 -0.15
6310 -0.33 -0.18
5606  0.10  0.04
5673 -0.28 -0.03
5653  0.04  0.10
5362 -0.28  0.04
5579 -0.05  0.08
5920  0.08  0.04
5855 -0.01  0.12
6480  0.03  0.40
6113 -0.12  0.06
5769  0.34 0
5870  0.12 0
5302 -0.51 0
5457 -0.36 -0.13
5014 -0.14 0
5445 -0.06 -0.04
6391 -0.45 -0.10
5751  0.12  0.00
5885  0.18 0
6195 -0.23 -0.05
5513 -0.14 -0.03
5703 -0.70 -0.46
5431  0.36 0
6375  0.27 0
5999 -0.13 -0.13
5674 -0.32 0
5821  0.03  0.07
5431 -0.18 -0.11
5856 -0.69 -0.25
5080 -0.41 0
5159  0.06 0
5425  0.22 0
5898 -0.26  0.03
6372  0.07  0.24
5418 -0.17 0
5180  0.14 0
5095 -0.56 0
5430 -0.45 -0.14
5757 -0.06 0
6107  0.31 0
6424  0.31 0
6191 -0.06  0.10
5882  0.08 -0.02
5546 -0.44 -0.12
5650 -0.57 -0.20
5789 -0.43 -0.09
5699 -0.05  0.16
5058 -0.54 -0.27
5970 -0.81 -0.34
5113  0.20  0.08
5204 -0.49 0
5500 -0.48 0
6635 -0.53 0
6534  0.16  0.21
5847 -0.13  0.05
5861 -0.93 -0.45
5803 -0.07 0
6429 -0.52 -0.08
5638 -0.16  0.11
5840  0.28 0
5755 -0.46  0.02
5674 -0.32 -0.04
5792 -0.11 -0.05
5530  0.22  0.21
5804 -0.15  0.00
5785  0.08  0.15
5790  0.02  0.11
5738  0.15  0.26
6497  0.21 0
5758 -0.35  0.03
5750  0.06  0.08
5909 -1.62 0
5934 -0.13 -0.05
5409 -0.22  0.06
6466  0.22  0.39
5441 -0.50 0
5242 -0.34 -0.17
5580 -0.28  0.00
4872 -0.21 0
6848  0.00  0.21
6336 -0.40 0
5480 -0.23 -0.12
5429 -0.40 -0.12
5144 -0.67 0
5892 -0.88 -0.36
5113  0.01 0
5361 -0.07 -0.04
5655 -0.17  0.02
5444 -0.16  0.01
6940 -0.15 0
5668 -0.33 -0.16
5517  0.07  0.06
5708  0.05  0.08
5353 -0.57 -0.18
5665 -0.06 -0.06
5980  0.25 0
5845  0.06 0
5129 -0.44 -0.24
5385 -0.26 -0.02
5612  0.04  0.18
6767 -0.64 -0.08
5826 -0.68 -0.36
5773 -0.62 -0.29
5754 -0.24  0.11
5224 -0.11 0
5751 -0.25 -0.07
5169 -0.31 0
6199 -0.04  0.06
5600 -0.04  0.19
5984 -0.96 -0.45
6197 -0.26 -0.16
5789 -0.11 0
5409 -0.35 -0.06
5277 -0.44 -0.14
5771 -0.52 -0.30
5869 -0.20 -0.04
5972 -0.54 0
5310 -0.06 0
5004  0.04 0
6152 -1.66 0
5869 -0.95 -0.47
6012 -0.84 -0.42
5562  0.13 0
5694 -0.47 0
5715 -0.33 -0.11
5852 -0.81 0
5837 -0.89 -0.44
5188 -0.91 0
5763 -0.35  0.08
5683 -0.05  0.12
5749 -0.19 -0.14
5598 -0.84 -0.38
5730 -0.32 -0.04
5876 -0.04  0.05
5802 -0.03  0.09
5725 -0.33 -0.03
5816 -0.03  0.12
5213 -0.61 0
5990  0.12  0.10
5823  0.14  0.22
4933 -0.12 0
5808 -0.23  0.01
6108  0.14  0.29
5997 -0.18  0.13
5830 -0.63 -0.15
5302 -0.27 -0.10
5981 -0.47 -0.12
5414 -0.08  0.06
5776 -0.07 0
6630 -0.50 -0.16
5755 -0.38 0
5968  0.11  0.25
5520 -0.21  0.01
6003 -0.43 0
5174 -0.34 0
6014 -0.38 -0.18
5263 -0.11 0
6552 -0.27 0
6205  0.33 0
5480 -0.71 -0.36
5999 -0.68 0
6008  0.25 0
5992  0.15 0
5712 -0.41 -0.07
5262 -0.46 0
5668 -0.03 0
4885 -0.45 0
6006  0.07  0.16
5696 -0.52 -0.20
5068  0.09 0
6116 -0.28 -0.05
5951  0.12 0
5543 -0.55 -0.10
6098 -0.43  0.00
6168 -1.14 0
5701 -0.39 -0.09
5682 -0.80 -0.51
6004  0.21  0.25
5995 -1.02 0
5627 -1.06 -0.65
6091  0.13 0
5878 -0.42 -0.15
5833 -0.12 -0.14
5518 -0.10 0
6364 -0.68 -0.34
5000 -0.82 0
5100 -0.35 -0.27
5753 -0.41 -0.24
5681 -0.35 -0.26
6102 -1.27 0
5977 -1.14 -0.74
5273 -0.68 0
5067 -0.77 0
5900  0.14 0
5726 -0.84 -0.37
5894 -0.86 -0.53
6051 -1.43 0
5595  0.07 0
5030 -0.07 0
5055 -0.74 0
5901 -0.73 -0.42
6154  0.11  0.03
5048 -0.50 0
5629 -0.44 -0.15
6140 -1.75 0
5779  0.10  0.13
6456 -0.61 0
5379 -1.25 -0.75
5322 -0.58 -0.31
5427 -0.45 -0.19
5364 -0.62 -0.43
5786 -0.63 -0.38
5996 -0.70 -0.48
6076 -0.42 0
5875  0.00 -0.09
5624 -0.13  0.17
5006 -0.13 0
5660 -0.22 0
5169 -0.66 0
5803  0.31 0
6503 -0.10 0
5692 -0.76 0
5436 -0.44 0
6043 -1.82 0
5848  0.07  0.06
6368 -0.70 0
5698 -0.12 0
5761 -0.02  0.11
5823 -0.64 -0.36
5928 -0.05 -0.17
5790 -0.65 -0.33
5637 -0.59 -0.18
5797  0.09 -0.05
5484 -1.30 0
5471 -0.67 -0.39
5869 -0.75 -0.40
5318 -0.35 -0.19
6268 -0.62 -0.18
5513 -0.35 -0.16
6398 -0.67 0
5045 -0.03 0
6374 -0.56 -0.24
4864 -0.11 0
5198 -0.52 0
5749 -1.51 -1.12
6077 -0.94 0
5854 -0.11 -0.10
5695 -0.81 -0.44
5881 -0.81 -0.37
4977 -1.39 0
5065 -1.46 0
5814  0.06  0.11
5703  0.26 0
5200 -0.19 -0.19
5844 -0.54 0
6447 -0.46 -0.17
5698 -0.32 -0.10
6455 -0.66 -0.34
6099 -0.64 -0.40
6067 -0.07  0.05
5782 -0.16  0.10
5658 -2.62 0
5708 -0.67 0
6208  0.08  0.26
5777 -0.88 -0.33
5556  0.22  0.20
