#Table J_ApJ_868_110_table9:
#Name: J/ApJ/868/110/table9
#Title: LTE atmospheric parameters: target stars
#---Details of Columns:
    Name            (a19)   SIMBAD, RAVE, or 2MASS ID (1) [ucd=meta.id]
    [FeI/H] ([Sun]) (F5.2)  [-3.4/-1.2] The [FeI/H] abundance ratio [ucd=phys.abund;arith.ratio]
------------------- -----
                    [FeI/
                    H] ([
Name                Sun])
------------------- -----
J001236.5-181631    -2.28
J000738.2-034551    -2.09
J002244.9-172429    -3.38
J003052.7-100704    -2.35
J005327.8-025317    -2.16
J005419.7-061155    -2.32
J010727.4-052401    -2.32
J014519.5-280058    -2.60
J015656.3-140211    -2.08
2MJ02134021-0005183 -1.96
J022741.1-051923    -2.38
J022938.7-130747    -1.43
J023610.8-120256    -2.13
J024139.0-042735    -2.48
J024236.8-070746    -2.04
J024325.9-324902    -2.62
J024620.1-151842    -2.45
J030714.8-053455    -2.23
J031337.3-102056    -2.05
J034346.3-092417    -1.92
J034621.6-073008    -1.99
J035509.3-063711    -2.38
J041929.7-051749    -2.02
J042324.4-131506    -2.38
J043422.5-232528    -1.89
J044150.9-230348    -2.48
J045301.7-243714    -2.44
J045651.5-311543    -2.19
J050550.5-214508    -2.16
J051727.4-134235    -2.14
2MJ05254724-3049100 -2.18
J061033.5-314107    -2.75
J070520.3-334324    -2.24
J071142.5-343237    -1.96
J091043.1-144419    -3.04
J091858.9-231151    -2.05
J092949.7-290559    -2.32
J094634.8-062653    -1.99
J094921.8-161722    -2.24
J095036.7-250628    -2.56
J095246.9-085554    -2.79
J095801.8-144614    -2.33
J100448.6-270650    -2.40
J102237.8-340021    -2.14
J103139.9-082759    -2.24
J103634.4-193436    -2.00
J104921.9-115417    -2.18
J105136.9-211547    -1.73
J105941.4-205225    -2.12
J112034.0-240615    -2.53
J112427.4-215510    -2.33
J113017.1-144933    -2.45
J113901.0-055814    -1.98
J114440.9-040951    -2.52
2MJ11444480-1128167 -2.42
J114638.8-042240    -2.05
J114729.9-052145    -2.00
J115801.3-152218    -2.41
J120456.3-075923    -2.72
2MJ12091322-1415313 -2.11
J121846.5-161051    -3.24
J122927.0-044233    -2.23
J123749.3-094930    -2.12
J125039.9-030749    -2.15
J125631.4-083410    -2.34
J130200.0-084328    -1.95
J130604.3-094730    -1.93
2MJ13072823-0931148 -1.98
J132139.3-113805    -2.44
2MJ13254554-1747547 -2.32
J132604.5-152502    -2.38
J132846.9-173136    -2.20
2MJ13431929-2358139 -2.47
J133514.0-011052    -2.45
J133748.9-082617    -2.62
J133931.4-125721    -2.71
2MJ13402720-0016031 -2.43
J134254.1-071701    -2.51
J133352.8-262354    -2.12
J140308.6-321401    -2.41
2MJ14043762+0011117 -1.87
J141015.9-034355    -2.06
J141640.8-242200    -2.57
J141808.7-284208    -2.32
J141914.0-084441    -2.08
J150025.0-061337    -2.05
J150203.0-052857    -1.82
J150757.0-065959    -2.07
J150833.9-145917    -2.29
J151116.8+002525    -2.46
J151608.7-212200    -2.27
2MJ15211026-0607566 -2.00
J152713.5-233618    -1.78
J153421.9-085747    -3.03
J153830.9-180424    -2.09
J154204.1-013121    -2.18
J154755.2-083710    -2.48
J155427.3+002137    -2.18
J160245.0-152102    -1.87
J160612.7-040034    -2.09
J160642.3-163245    -2.38
J160951.2-094118    -2.66
J161228.4-054142    -1.80
J161228.3-084808    -2.11
J161635.6-040115    -1.97
J161843.1-063056    -2.41
J162722.5-084836    -2.36
J162856.2-101457    -2.00
J163931.1-052252    -2.07
J164551.2-042947    -2.15
J181146.8-212609    -1.23
J190501.2-194928    -1.89
J200506.7-305745    -2.75
J201027.8-082656    -2.02
J203226.1+000014    -2.24
J203622.6-071420    -2.41
J203858.9-025212    -2.15
J205423.5-003310    -2.66
J205849.2-035434    -2.36
J211621.9-021342    -2.58
J215136.0-054340    -2.47
2MJ22562536-0719562 -2.26
J225652.6-050007    -1.97
J230430.2+015517    -2.46
J232519.0-081554    -2.30

