#Table J_ApJ_847_18_table4:
#Name: J/ApJ/847/18/table4
#Title: MZ_*_-SFR relation data
#---Details of Columns:
#    Av (mag)           (F9.6)  [0.1/1] Dust attenuation [ucd=phys.absorption]
#    logMass ([Msun])   (F5.2)  [8.5/11] log of Mass [ucd=phys.mass]
#    logSFR ([Msun/yr]) (F7.4)  [-1/1.4] log of star formation rate (1) [ucd=phys.SFR]
#    logZ ([Sun])       (F9.6)  [-0.8/0.09] Metallicity from fitting Sequential Single-Burst (SSB) models [ucd=phys.abund.Z]
#--------- ----- ------- ---------
#          l
#          ogMas logS
#          s ([M FR ([Ms log
#Av (mag)  sun]) un/yr]) Z ([Sun])
#--------- ----- ------- ---------
 0.132641  8.55 -0.8719 -0.790493
 0.115584  8.55 -0.7168 -0.657247
 0.131829  8.55 -0.5283 -0.517854
 0.119299  8.55 -0.3186 -0.603095
 0.157137  8.55  0.0291 -0.692543
 0.193884  8.65 -0.8882 -0.593552
 0.143872  8.65 -0.7493 -0.661443
 0.241898  8.65 -0.5768 -0.655917
 0.143413  8.65 -0.3607 -0.574836
 0.166969  8.65  0.0280 -0.360079
 0.249405  8.75 -0.9350 -0.584256
 0.245499  8.75 -0.7419 -0.511668
 0.196597  8.75 -0.6032 -0.724231
 0.184294  8.75 -0.4189 -0.506848
 0.156815  8.75 -0.0157 -0.602871
 0.269947  8.85 -0.8816 -0.609410
 0.222121  8.85 -0.7124 -0.523790
 0.212457  8.85 -0.5910 -0.594106
 0.192772  8.85 -0.4303 -0.650015
 0.195232  8.85 -0.0197 -0.616309
 0.275004  8.95 -0.8994 -0.488701
 0.271710  8.95 -0.6834 -0.465259
 0.237916  8.95 -0.5409 -0.498981
 0.215959  8.95 -0.3975 -0.498393
 0.176207  8.95 -0.0509 -0.420827
 0.318384  9.05 -0.8525 -0.404988
 0.255814  9.05 -0.6081 -0.490931
 0.304327  9.05 -0.4699 -0.463029
 0.216491  9.05 -0.3328 -0.507286
 0.186189  9.05 -0.0437 -0.623415
 0.386497  9.15 -0.7976 -0.335865
 0.292306  9.15 -0.5499 -0.409832
 0.268854  9.15 -0.3893 -0.450112
 0.257179  9.15 -0.2534 -0.450536
 0.234158  9.15  0.0195 -0.592386
 0.421114  9.25 -0.7269 -0.284433
 0.341400  9.25 -0.4851 -0.370080
 0.301438  9.25 -0.3373 -0.404891
 0.270828  9.25 -0.1862 -0.497431
 0.219733  9.25  0.0870 -0.522942
 0.466407  9.35 -0.6763 -0.196118
 0.379008  9.35 -0.4197 -0.284606
 0.323022  9.35 -0.2640 -0.416380
 0.304281  9.35 -0.1127 -0.481494
 0.229056  9.35  0.1494 -0.394266
 0.487225  9.45 -0.6184 -0.221487
 0.424863  9.45 -0.3566 -0.274047
 0.351488  9.45 -0.2026 -0.279948
 0.326748  9.45 -0.0371 -0.280756
 0.256097  9.45  0.1958 -0.369976
 0.526483  9.55 -0.5573 -0.170533
 0.441572  9.55 -0.2813 -0.207841
 0.405171  9.55 -0.1238 -0.241646
